time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-12T14:27:57.496Z,-0.3907,-19.7113,10,5,mb,,79,9.196,0.95,us,us7000gkab,2022-02-12T14:47:13.040Z,"central Mid-Atlantic Ridge",earthquake,10.9,1.9,0.07,66,reviewed,us,us
2022-02-12T14:04:20.040Z,19.2101669311523,-155.376007080078,2.0699999332428,2.06,ml,11,230,,0.219999999,hv,hv72914557,2022-02-12T14:09:50.440Z,"10 km E of Pāhala, Hawaii",earthquake,2.42,4.88000011,0.6,3,automatic,hv,hv
2022-02-12T13:59:22.540Z,19.1630001068115,-155.465835571289,33.1699981689453,2,md,41,93,,0.109999999,hv,hv72914552,2022-02-12T14:02:43.910Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.6,0.879999995,0.560000002,9,automatic,hv,hv
2022-02-12T13:44:09.410Z,19.2238330841064,-155.389831542969,32.9599990844727,2.22,ml,48,151,,0.129999995,hv,hv72914527,2022-02-12T13:49:40.490Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.48,0.75,4.04,7,automatic,hv,hv
2022-02-12T13:39:19.467Z,38.2586,-118.3577,8.4,1.2,ml,14,115.42,0.116,0.0802,nn,nn00833736,2022-02-12T13:42:52.879Z,"26 km SW of Mina, Nevada",earthquake,,0.9,0.13,7,automatic,nn,nn
2022-02-12T13:35:24.946Z,62.3696,-149.536,82.5,1.8,ml,,,,0.93,ak,ak0221zc2432,2022-02-12T13:39:57.873Z,"28 km NE of Susitna North, Alaska",earthquake,,1.5,,,automatic,ak,ak
2022-02-12T13:30:48.866Z,33.6214,-111.1178,5.38,2.5,ml,,60,0.095,0.38,us,us7000gka5,2022-02-12T15:13:59.040Z,"5 km SSE of Roosevelt, Arizona",earthquake,2.3,6,0.06,36,reviewed,us,us
2022-02-12T13:12:02.910Z,19.4821662902832,-155.648498535156,1.66999995708466,2.08,ml,42,70,,0.340000004,hv,hv72914497,2022-02-12T13:17:40.460Z,"22 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.58,1.23000002,4.29,7,automatic,hv,hv
2022-02-12T13:11:18.650Z,51.1184,178.8855,35,4.3,mb,,185,0.861,0.54,us,us7000gk9x,2022-02-12T13:31:46.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,8.5,2,0.056,91,reviewed,us,us
2022-02-12T12:54:44.090Z,19.397,-67.3958,10,3.81,md,28,258,0.9721,0.28,pr,pr2022043000,2022-02-12T13:47:25.645Z,"104 km NNW of San Antonio, Puerto Rico",earthquake,1.9,2.8,0.12,21,reviewed,pr,pr
